date," ""temperature_degC"""," ""dewpoint_degC"""," ""cloud_fraction"""," ""press_msl_hPa"""," ""wind_spd_ms"""," ""wind_dir_degrees"""
1/12/10 08:00,-5.6,-8.3,0,1021.786667,1.82,8.666666667
1/12/10 09:00,-5.6,-8.3,0,1021.7,0,0
1/12/10 10:00,-5.373333333,-8.526666667,0,1021.773333,0.2,38.66666667
1/12/10 11:00,-7.653333333,-10,0,1021.466667,1.3,251.3333333
1/12/10 12:00,-6.7,-10,0,1020.6,0,0
1/12/10 13:00,-4.04,-9.853333333,0,1020.133333,0.76,45.33333333
1/12/10 14:00,-1.993333333,-8.966666667,0,1019.7,5.22,334.6666667
1/12/10 15:00,-3.9,-9.4,0,1019.7,2.1,300
1/12/10 16:00,1.033333333,-7.573333333,0,1018.986667,1.3,277.3333333
1/12/10 17:00,0.96,-6.18,0,1018.766667,0,0
1/12/10 18:00,3.3,-6.7,0,1017.9,0,0
1/12/10 19:00,6.326666667,-6.7,0,1016.226667,1.3,52
1/12/10 20:00,7.946666667,-6.553333333,0,1014.98,0,0
1/12/10 21:00,8.9,-5.6,0,1014.2,0,0
1/12/10 22:00,8.733333333,-3.153333333,0,1013.92,1.3,0
1/12/10 23:00,4.106666667,-2.28,0,1014.713333,0,0
1/13/10 00:00,2.2,-2.8,0,1014.8,0,0
1/13/10 01:00,1.326666667,-5.08,0,1014.28,0.346666667,12
1/13/10 02:00,2.946666667,-5.666666667,0,1013.473333,2.533333333,87.33333333
1/13/10 03:00,3.9,-6.1,0,1013.3,2.1,70
1/13/10 04:00,2.426666667,-7.72,0,1012.526667,1.58,320.6666667
1/13/10 05:00,-0.226666667,-7.133333333,0,1012.66,2.1,123.3333333
1/13/10 06:00,-1.7,-6.7,0,1012.4,2.1,80
1/13/10 07:00,-2.053333333,-7.28,0,1011.606667,0,0
1/13/10 08:00,-0.206666667,-7.653333333,0,1010.88,0.613333333,44
1/13/10 09:00,5.6,-6.7,0,1010.1,4.6,330
1/13/10 10:00,3.813333333,-7.346666667,0,1010.193333,0.28,20
1/13/10 11:00,0.08,-8.153333333,0,1010.84,2.3,170
1/13/10 12:00,0.6,-7.2,0,1011.1,3.6,300
1/13/10 13:00,0.44,-6.18,0,1012.213333,5.62,346
1/13/10 14:00,0.146666667,-6.62,0,1012.273333,5.18,322.6666667
1/13/10 15:00,5,-6.1,0,1012.1,5.7,340
1/13/10 16:00,6.54,-4.253333333,0.216666667,1012.7,3.666666667,311.3333333
1/13/10 17:00,9.56,-3.153333333,0,1012.686667,4.233333333,322.6666667
1/13/10 18:00,10.6,-2.2,0,1012.6,5.1,340
1/13/10 19:00,10.6,-1.7,0,1012.006667,6.333333333,341.3333333
1/13/10 20:00,10.52,-1.62,0,1011.293333,7.266666667,350
1/13/10 21:00,10,-1.1,0,1010.6,7.7,350
1/13/10 22:00,9.186666667,-1.18,0,1011.386667,8.586666667,351.3333333
1/13/10 23:00,7.506666667,-1.766666667,0,1012.733333,7.066666667,358.6666667
1/14/10 00:00,5.6,-2.2,0,1013.6,6.2,350
1/14/10 01:00,5.58,-2.28,0,1014.3,6.786666667,334.6666667
1/14/10 02:00,2.346666667,-2.8,0,1015.546667,3.553333333,260
1/14/10 03:00,3.3,-2.8,0,1015.2,0,0
1/14/10 04:00,-0.373333333,-3.9,0,1015.973333,1.646666667,314.6666667
1/14/10 05:00,1.1,-3.9,0,1015.866667,2.733333333,282.6666667
1/14/10 06:00,1.1,-3.9,0,1016.3,3.6,300
1/14/10 07:00,0.666666667,-3.3,0,1016.713333,3.666666667,332.6666667
1/14/10 08:00,1.1,-3.3,0,1016.866667,4.1,347.3333333
1/14/10 09:00,1.1,-3.3,0,1017.3,4.1,330
1/14/10 10:00,0,-3.9,0,1018.066667,3.166666667,302.6666667
1/14/10 11:00,-0.08,-3.966666667,0,1018.606667,3.466666667,317.3333333
1/14/10 12:00,-0.6,-4.4,0,1019.3,2.6,300
1/14/10 13:00,-1.033333333,-4.4,0,1019.833333,3.466666667,300
1/14/10 14:00,-0.746666667,-4.48,0,1020.806667,2.533333333,300
1/14/10 15:00,-1.7,-5,0,1021.5,2.1,300
1/14/10 16:00,1.62,-2.8,0,1022.546667,0,0
1/14/10 17:00,4.92,-2.72,0,1022.253333,0,0
1/14/10 18:00,4.4,-2.2,0,1022.6,0,0
1/14/10 19:00,6.1,-2.053333333,0,1021.746667,1.713333333,122.6666667
1/14/10 20:00,6.033333333,-1.18,0,1021.4,3.033333333,137.3333333
1/14/10 21:00,5.6,-1.7,0,1021.4,2.6,120
1/14/10 22:00,4.853333333,-1.18,0,1021.866667,1.82,95.33333333
1/14/10 23:00,3.753333333,-1.766666667,0,1022.366667,0.2,14.66666667
1/15/10 00:00,2.8,-2.2,0,1022.8,1.5,110
1/15/10 01:00,0,-2.8,0,1023.213333,0,0
1/15/10 02:00,-0.293333333,-3.013333333,0,1023.393333,0.2,42.66666667
1/15/10 03:00,-2.2,-4.4,0,1024,1.5,320
1/15/10 04:00,0.293333333,-2.2,0,1023.506667,2.366666667,341.3333333
1/15/10 05:00,2.2,-2.28,0,1022.926667,4.033333333,350
1/15/10 06:00,2.2,-2.8,0,1023.1,3.6,350
1/15/10 07:00,0.873333333,-3.38,0,1022.746667,3.033333333,300
1/15/10 08:00,-0.44,-3.9,0,1022.413333,2.8,300
1/15/10 09:00,0.6,-3.9,0,1022.5,4.1,300
1/15/10 10:00,0.806666667,-4.046666667,0,1022.753333,3.966666667,291.3333333
1/15/10 11:00,-1.18,-5,0,1023.153333,2.886666667,298.6666667
1/15/10 12:00,-1.7,-5,0,1023.5,1.5,290
1/15/10 13:00,-1.986666667,-5,0,1023.773333,2.733333333,307.3333333
1/15/10 14:00,-0.52,-5,0,1023.653333,3.466666667,290
1/15/10 15:00,0,-5,0,1024,2.6,290
1/15/10 16:00,3.093333333,-3.3,0,1023.36,3.12,268.6666667
1/15/10 17:00,5.293333333,-3.3,0,1022.966667,0.28,24
1/15/10 18:00,7.2,-3.3,0,1022.1,2.1,180
1/15/10 19:00,6.62,-1.553333333,0,1020.88,2.533333333,146
1/15/10 20:00,6.18,-0.44,0,1019.953333,2.166666667,120
1/15/10 21:00,6.7,0.6,0,1019,2.6,120
1/15/10 22:00,6.326666667,-0.666666667,0,1017.786667,3.4,118.6666667
1/15/10 23:00,3.606666667,-1.246666667,0,1017.726667,1.82,95.33333333
1/16/10 00:00,1.7,-2.2,0,1017.9,0,0
1/16/10 01:00,-0.52,-3.38,0,1017.493333,0.28,38.66666667
1/16/10 02:00,0.08,-3.966666667,0,1016.72,2.02,268.6666667
1/16/10 03:00,0.6,-4.4,0,1016.2,1.5,130
1/16/10 04:00,-0.6,-5.746666667,0,1015.48,0,0
1/16/10 05:00,-0.666666667,-6.7,0,1014.606667,0,0
1/16/10 06:00,-1.1,-6.7,0,1014,0,0
1/16/10 07:00,-0.746666667,-6.62,0,1012.706667,2.253333333,112.6666667
