Full_Zone_Code,State_Name,Zone_Name,Center_Lon,Center_Lat
3903,South Dakota,Northeast,-97.84340232,45.45994232
3904,South Dakota,Black Hills,-103.6644928,43.92326189
3905,South Dakota,Southwest,-102.4854087,43.73840917
3906,South Dakota,Central,-100.2295788,44.34274441
3907,South Dakota,East Central,-97.77072862,44.50062706
3908,South Dakota,South Central,-100.3820108,43.3557768
3909,South Dakota,Southeast,-97.72438524,43.4178936
4001,Tennessee,Eastern,-83.71540942,35.93301293
4002,Tennessee,Cumberland Plateau,-85.34086542,35.82755506
4003,Tennessee,Middle,-87.03289684,35.86655735
4004,Tennessee,Western,-89.05458167,35.71374218
4101,Texas,High Plains,-101.9041896,34.44864792
4102,Texas,Low Rolling Plains,-100.2310169,33.43713056
4103,Texas,North Central,-97.6101251,32.49087573
4104,Texas,East Texas,-95.07019494,31.7259452
4105,Texas,Trans Pecos,-103.763181,30.82284304
4106,Texas,Edwards Plateau,-100.1523325,30.59516274
4107,Texas,South Central,-97.53519106,29.26046639
4108,Texas,Upper Coast,-95.58318117,29.38008616
4109,Texas,South,-98.90291355,27.89992113
4110,Texas,Lower Valley,-97.82670867,26.33189168
4201,Utah,Western,-113.3220255,39.9381941
4202,Utah,Dixie,-113.5297027,37.17601285
4203,Utah,North Central,-112.1527099,40.72694463
4204,Utah,South Central,-112.0904497,38.24855436
4205,Utah,Northern Mountains,-110.9567419,40.75321017
4206,Utah,Uinta Basin,-109.7752756,40.00570086
4207,Utah,Southeast,-110.1798144,38.21501328
4301,Vermont,Northeastern,-72.31541501,44.46115351
4302,Vermont,Western,-73.09611484,43.99842335
4303,Vermont,Southeastern,-72.62556366,43.27761294
4401,Virginia,Tidewater,-76.28376001,37.44717885
4402,Virginia,Eastern Piedmont,-77.93845688,37.42801037
4403,Virginia,Western Piedmont,-79.25571055,37.17224015
4404,Virginia,Northern,-77.99121312,38.75755763
4405,Virginia,Central Mountain,-79.50050857,37.99095841
4406,Virginia,Southwestern Mountain,-81.58854052,36.94606899
4501,Washington,West Olympic Coast,-123.9077436,47.40364084
4502,Washington,North East Olympic San Juan,-122.8226375,48.30759189
4503,Washington,Puget Sound Lowlands,-122.7251871,47.83475979
4504,Washington,East Olympic Cascade Foothills,-122.4943976,47.17169093
4505,Washington,Cascade Mountains West,-121.5367932,47.40497664
4506,Washington,East Slope Cascades,-120.7141956,47.48793258
4507,Washington,Okanogan Big Bend,-119.167644,47.86894687
4508,Washington,Central Basin,-119.491071,46.61502506
4509,Washington,Northeastern,-118.002715,48.35551786
4510,Washington,Plouse Blue Mountains,-117.5633564,46.68338011
4601,West Virginia,Northwestern,-81.00846663,39.55966375
4602,West Virginia,North Central,-80.51238769,39.1422993
4603,West Virginia,Southwestern,-81.800065,38.31003225
4604,West Virginia,Central,-80.22874282,38.51127077
4605,West Virginia,Southern,-81.04692017,37.56304604
4606,West Virginia,Northeastern,-78.68357109,39.17535067
4701,Wisconsin,Northwest,-91.63210863,45.85030316
4702,Wisconsin,North Central,-90.08534008,45.51440811
4703,Wisconsin,Northeast,-88.5238789,45.28319889
4704,Wisconsin,West Central,-91.4988597,44.48390765
4705,Wisconsin,Central,-89.56052742,44.17762939
4706,Wisconsin,East Central,-87.50213736,44.78812477
4707,Wisconsin,Southwest,-90.45434472,43.15652585
4708,Wisconsin,South Central,-89.16395351,43.08729421
4709,Wisconsin,Southeast,-88.21870468,42.9549242
4801,Wyoming,Yellowstone Drainage,-110.1284921,44.6550283
4802,Wyoming,Snake Drainage,-110.6322939,43.62774074
4803,Wyoming,Green and Bear Drainage,-109.5477983,41.87781915
4804,Wyoming,Big Horn,-108.4293584,44.21423717
4805,Wyoming,Powder Little Mo & Tongue Drainages,-106.3560824,44.24000108
4806,Wyoming,Belle Fourche Drainage,-104.8959231,44.3081838
4807,Wyoming,Cheyenne Niobrara Drainage,-104.8725975,43.41189306
4808,Wyoming,Lower Platte,-105.1611047,42.13836101
4809,Wyoming,Wind River,-108.5742241,43.167142
4810,Wyoming,Upper Platte,-106.8847217,41.95156209
