"date", "data_product_code", "temperature", "temperature_dewpoint", "cloud_cover_fraction", "air_pressure", "wind_speed", "wind_dir_degrees", "ISD_precip_01hr"
1973-01-09 12:00:00, "SY-SA", -25, -32.2, 0.125, 1039.3, 3.6, 320, 0
1973-01-09 13:00:00, "SAO  ", -24, -31, 0.25, 1038.9, 2.5, 300, 0
1973-01-09 14:00:00, "SAO  ", -24, -31, 0, 1039.1, 2.5, 320, 0
1973-01-09 15:00:00, "SAO  ", -23.3, -30, 0, 1038.8, 4.1, 290, 0
1973-01-09 16:00:00, "SAO  ", -19, -26, 0, 1038.6, 1.5, 210, 0
1973-01-09 17:00:00, "SAO  ", -17, -26, 0.25, 1038.5, 0, 0, 0
1973-01-09 18:00:00, "SY-SA", -16.7, -25, 0.625, 1037.1, 1.5, 150, 0
1973-01-09 19:00:00, "SAO  ", -14, -24, 0.875, 1035.6, 2, 140, 0
1973-01-09 20:00:00, "SAO  ", -13, -23, 0.875, 1034.2, 2, 130, 0
1973-01-09 21:00:00, "SAO  ", -12.2, -22.2, 0.75, 1033.6, 3.6, 140, 0
1973-01-09 22:00:00, "SAO  ", -13, -22, 0.875, 1032.8, 4.1, 150, 0
1973-01-09 23:00:00, "SAO  ", -14, -24, 0.875, 1032.7, 2.5, 150, 0
1973-01-10 00:00:00, "SY-SA", -16.1, -24.4, 0.375, 1032.8, 2.1, 150, 0
1973-01-10 01:00:00, "SAO  ", -18, -25, 0.25, 1032.4, 2, 150, 0
1973-01-10 02:00:00, "SAO  ", -19, -26, 0.25, 1031.6, 1.5, 90, 0
1973-01-10 03:00:00, "SAO  ", -20.6, -26.1, 0.25, 1031.5, 1.5, 50, 0
1973-01-10 04:00:00, "SAO  ", -19, -27, 0.25, 1029.7, 1.5, 90, 0
1973-01-10 05:00:00, "SAO  ", -21, -26, 0.25, 1029.1, 1.5, 310, 0
1973-01-10 06:00:00, "SY-SA", -23.3, -28.9, 0.25, 1029, 2.1, 330, 0
1973-01-10 07:00:00, "SAO  ", -21, -26, 0, 1027.5, 4.1, 330, 0
1973-01-10 08:00:00, "SAO  ", -20, -27, 0, 1026.2, 4.1, 300, 0
1973-01-10 09:00:00, "SAO  ", -20, -26.7, 0, 1026.1, 3.1, 330, 0
1973-01-10 10:00:00, "SAO  ", -19, -27, 0, 1025.5, 4.1, 280, 0
1973-01-10 11:00:00, "SAO  ", -19, -28, 0, 1025.1, 3.6, 270, 0
1973-01-10 12:00:00, "SY-SA", -19.4, -28.9, 0, 1025.3, 3.1, 320, 0
1973-01-10 13:00:00, "SAO  ", -18, -28, 0, 1025, 3.6, 270, 0
1973-01-10 14:00:00, "SAO  ", -19, -27, 0, 1026.1, 5.1, 340, 0
1973-01-10 15:00:00, "SAO  ", -20, -28.9, 0, 1026.8, 3.1, 330, 0
1973-01-10 16:00:00, "SAO  ", -16, -25, 0, 1027.1, 2.5, 300, 0
1973-01-10 17:00:00, "SAO  ", -13, -24, 0, 1026.8, 1.5, 210, 0
1973-01-10 18:00:00, "SY-SA", -10.6, -23.3, 0, 1026, 0, 0, 0
1973-01-10 19:00:00, "SAO  ", -7, -21, 0, 1024.2, 0, 0, 0
1973-01-10 20:00:00, "SAO  ", -6, -18, 0, 1023.5, 2.5, 90, 0
1973-01-10 21:00:00, "SAO  ", -5, -17.2, 0, 1023.5, 2.6, 150, 0
1973-01-10 22:00:00, "SAO  ", -6, -18, 0, 1023.8, 3, 140, 0
1973-01-10 23:00:00, "SAO  ", -6, -18, 0, 1024.8, 1.5, 210, 0
1973-01-11 00:00:00, "SY-SA", -8.3, -20.6, 0, 1025.5, 1.5, 10, 0
1973-01-11 01:00:00, "SAO  ", -11, -21, 0, 1027.2, 3, 330, 0
1973-01-11 02:00:00, "SAO  ", -12, -21, 0.25, 1027.7, 4.1, 310, 0
1973-01-11 03:00:00, "SAO  ", -14.4, -23.9, 0.25, 1029, 4.6, 270, 0
1973-01-11 06:00:00, "SY-SA", -9.4, -21.7, 0.5, 1027.8, 5.2, 330, 0
1973-01-11 07:00:00, "SAO  ", -6.6, -18.8, 0.25, 1026.7, 5.1, 330, 0
1973-01-11 08:00:00, "SAO  ", -8.8, -20.5, 0.25, 1026.9, 5.6, 330, 0
1973-01-11 09:00:00, "SAO  ", -12.2, -22.2, 0.25, 1027.7, 3.1, 270, 0
1973-01-11 10:00:00, "SAO  ", -12.2, -22.2, 0.25, 1028.4, 2, 260, 0
1973-01-11 11:00:00, "SAO  ", -13.8, -23.8, 0.25, 1028.4, 1.5, 270, 0
1973-01-11 12:00:00, "SY-SA", -12.2, -24.4, 0.125, 1027.8, 2.6, 150, 0
1973-01-11 13:00:00, "SAO  ", -11.6, -24.4, 0, 1028.3, 0, 0, 0
