year,month,Date,Deficit,Potential_Evap,Prec_m_PE,Precipitation,Storage,Surplus,Evaporation,Prec_m_Evap,Recharge,Snowpack
1910,1,1910-01-15,0,0,2.6,26.4,52,0,0,26.4,2.700000000000003,23.699999999999996
1910,2,1910-02-15,0,0,0.6,6.5,52.6,0,0,6.5,0.6000000000000014,5.899999999999999
1910,3,1910-03-15,0,32.9,52.3,25.7,104.9,0,32.9,-7.199999999999999,52.300000000000004,0
1910,4,1910-04-15,10.3,51.6,-29.9,21.7,85.3,0,41.3,-19.599999999999998,0,0
1910,5,1910-05-15,9.1,60.6,-20.4,40.2,74,0,51.5,-11.299999999999997,0,0
1910,6,1910-06-15,39.3,128,-66.7,61.4,46.7,0,88.7,-27.300000000000004,0,0
1910,7,1910-07-15,82.5,149.5,-106.9,42.6,22.2,0,67,-24.4,0,0
1910,8,1910-08-15,78.6,115,-88.8,26.2,12,0,36.400000000000006,-10.200000000000006,0,0
1910,9,1910-09-15,43.1,79.3,-46.4,32.9,8.7,0,36.199999999999996,-3.299999999999997,0,0
1910,10,1910-10-15,30.5,47.6,-32.2,15.4,7,0,17.1,-1.700000000000001,0,0
1910,11,1910-11-15,0,0,8.8,8.8,15.7,0,0,8.8,8.7,0.10000000000000142
1910,12,1910-12-15,0,0,1.1,10.8,16.8,0,0,10.8,1.1000000000000014,9.7
1911,1,1911-01-15,0,0,0.4,4,17.2,0,0,4,0.3999999999999986,3.6000000000000014
1911,2,1911-02-15,0,0,1.3,12.6,18.5,0,0,12.6,1.3000000000000007,11.299999999999999
1911,3,1911-03-15,0,18,14.1,7.3,32.6,0,18,-10.7,14.100000000000001,0
1911,4,1911-04-15,0,31.8,8.5,40.3,41.1,0,31.8,8.499999999999996,8.5,0
1911,5,1911-05-15,36.7,86.2,-48.5,37.8,29.4,0,49.5,-11.700000000000003,0,0
1911,6,1911-06-15,104.5,149.7,-121.3,28.5,12.7,0,45.19999999999999,-16.69999999999999,0,0
1911,7,1911-07-15,84.5,137.7,-90.4,47.3,6.8,0,53.19999999999999,-5.8999999999999915,0,0
1911,8,1911-08-15,34.2,110.9,-35.7,75.2,5.3,0,76.7,-1.5,0,0
1911,9,1911-09-15,15.8,81.7,-16.3,65.4,4.7,0,65.9,-0.5,0,0
1911,10,1911-10-15,0,24.7,9.3,34,14,0,24.7,9.3,9.3,0
1911,11,1911-11-15,0,0,1.6,16.3,15.7,0,0,16.3,1.6999999999999993,14.600000000000001
1911,12,1911-12-15,0,0,1.4,14.4,17.1,0,0,14.4,1.4000000000000021,12.999999999999998
1912,1,1912-01-15,0,0,1,10.4,18.1,0,0,10.4,1,9.4
1912,2,1912-02-15,0,0,0.5,4.8,18.6,0,0,4.8,0.5,4.3
1912,3,1912-03-15,0,0,2,20.3,20.6,0,0,20.3,2,18.3
1912,4,1912-04-15,0,45.4,67.5,53,88.2,0,45.4,7.600000000000001,67.6,0
1912,5,1912-05-15,17.2,81.8,-37.2,44.6,68.2,0,64.6,-19.999999999999993,0,0
1912,6,1912-06-15,56.1,119.4,-86.9,32.5,37.3,0,63.300000000000004,-30.800000000000004,0,0
